municipality,year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
Karkkila,2020,13,1.4496121083750162,1.1387477526389107,1.4371383162677112,1.168281685530387,1.1014865244779313
Karkkila,2021,13,1.4855154061150082,1.1507399108499852,1.4783097404098848,1.1838986758102017,1.1105370864821327
Karkkila,2022,16,1.5538171688684,1.1689699179076525,1.5396968823353494,1.207939087812041,1.1245819372717045
Karkkila,2023,18,1.676108603256177,1.2030603973176524,1.6430856476739206,1.25311918749166,1.1514526638739684
Karkkila,2024,18,1.6899702874379077,1.2082343911816185,1.6431324948017887,1.2550211397924722,1.153272959455405
Karkkila,2025,18,1.6369639321552405,1.1924294139067557,1.57767549306331,1.230707029217232,1.1397226061685308
Karstula,1990,1,1,1,1,1,1
Karstula,1991,1,1,1,1,1,1
Karstula,1992,1,1,1,1,1,1
Karstula,1993,1,1,1,1,1,1
Karstula,1994,1,1,1,1,1,1
Karstula,1995,1,1,1,1,1,1
Karstula,1996,1,1,1,1,1,1
Karstula,1997,1,1,1,1,1,1
Karstula,1998,1,1,1,1,1,1
Karstula,1999,1,1,1,1,1,1
Karstula,2000,1,1,1,1,1,1
Karstula,2001,1,1,1,1,1,1
Karstula,2002,1,1,1,1,1,1
Karstula,2003,1,1,1,1,1,1
Karstula,2004,1,1,1,1,1,1
Karstula,2005,1,1,1,1,1,1
Karstula,2006,1,1,1,1,1,1
Karstula,2007,1,1,1,1,1,1
Karstula,2008,1,1,1,1,1,1
Karstula,2009,1,1,1,1,1,1
Karstula,2010,1,1,1,1,1,1
Karstula,2011,1,1,1,1,1,1
Karstula,2012,2,1.0164085327170815,1.0046125215919413,1.0198184534195582,1.007048651417856,1.0040912142681366
Karstula,2013,1,1,1,1,1,1
Karstula,2014,2,1.0166981768309988,1.004706963808389,1.0202158260077414,1.0071922376304643,1.004174938264436
Karstula,2015,2,1.0167663140668026,1.004729223970579,1.0203094391360077,1.007226076833565,1.0041946718680967
Karstula,2016,2,1.0183596250769023,1.0052543224636916,1.0225123823802558,1.0080238435176805,1.004660142309071
Karstula,2017,3,1.0361499876373814,1.0102568550407516,1.025215850780716,1.0101840379925582,1.0065381244986806
Karstula,2018,3,1.0355083900448736,1.0100450612337948,1.023818711687951,1.0097100506337011,1.0062788354984018
Karstula,2019,3,1.0408641376677643,1.0118180922532765,1.0288522417097337,1.0116934608028199,1.0075169021148
Karstula,2020,3,1.0401580857660007,1.0115802533549076,1.0273589892005175,1.0111814895967015,1.0072348824468687
Karstula,2021,2,1.0218773780557977,1.0064428861564358,1.0274614022870443,1.009826260861057,1.0057135344566823
Karstula,2022,2,1.0240744144912135,1.0072041182183562,1.0306041423424035,1.0109782256732194,1.006388046086022
Karstula,2023,4,1.1023984444770885,1.0329193723261243,1.132246545330483,1.0495239876402787,1.0290905830426997
Karstula,2024,4,1.1064706881777473,1.0339679707448393,1.1364025523781964,1.0510901538997832,1.0300033160192212
Karstula,2025,3,1.1068185388552896,1.037049269422375,1.1436546521284967,1.0551801296519303,1.032711438119958
Karvia,1990,1,1,1,1,1,1
Karvia,1991,1,1,1,1,1,1
Karvia,1992,1,1,1,1,1,1
Karvia,1993,1,1,1,1,1,1
Karvia,1994,1,1,1,1,1,1
Karvia,1995,1,1,1,1,1,1
Karvia,1996,1,1,1,1,1,1
Karvia,1997,1,1,1,1,1,1
Karvia,1998,1,1,1,1,1,1
Karvia,1999,1,1,1,1,1,1
Karvia,2000,1,1,1,1,1,1
Karvia,2001,1,1,1,1,1,1
Karvia,2002,1,1,1,1,1,1
Karvia,2003,1,1,1,1,1,1
Karvia,2004,1,1,1,1,1,1
Karvia,2005,1,1,1,1,1,1
Karvia,2006,2,1.0380730033280356,1.012345208611164,1.005759532122052,1.0050322076746527,1.0044921918302854
Karvia,2007,2,1.05468386632933,1.018983320487013,1.0087927806587667,1.0076961956914094,1.0068789841361265
Karvia,2008,2,1.0554469210970108,1.0193003552341096,1.0089365566705182,1.00782270585633,1.0069924807863604
Karvia,2009,2,1.065466747736145,1.0235529636415992,1.0108556235777453,1.0095133749261858,1.0085105497387508
Karvia,2010,2,1.0714077988623794,1.026149374456084,1.0120186737894554,1.0105398730027328,1.0094334453212634
Karvia,2011,2,1.0813364598342068,1.0306050748210798,1.0139995240379693,1.0122914082635677,1.011010287791108
Karvia,2012,2,1.0844758432986994,1.0320430527169837,1.0146347741853312,1.0128539880296792,1.0115173169582365
Karvia,2013,2,1.0796893766634086,1.0298561362507375,1.013667893435255,1.0119978830208582,1.010745854073783
Karvia,2014,2,1.0805762285793932,1.03025891921489,1.013846312137985,1.012155786558988,1.010888098457739
Karvia,2015,2,1.0829847505828076,1.0313583622838671,1.0143325446325409,1.0125862797273422,1.0112760089114305
Karvia,2016,2,1.0947087328779705,1.0368230051651204,1.01673244034369,1.014714696458503,1.0131962367701945
Karvia,2017,2,1.094400670953227,1.0366770769178983,1.0166687156959382,1.0146581022146897,1.0131451276504548
Karvia,2018,3,1.121185983137001,1.044046156895654,1.0521225028450443,1.0271508666200224,1.0202505514896356
Karvia,2019,3,1.119298185948024,1.043119056634579,1.0523189645006534,1.0269746505285735,1.0200132904770918
Karvia,2020,3,1.1541096808283948,1.0565673011279386,1.0980013285061425,1.0449494934108123,1.0308718878437104
Karvia,2021,4,1.2022102980100344,1.0725996561295394,1.1473594303578358,1.0652284620423973,1.0433030502369964
Karvia,2022,4,1.2088358336617706,1.0753996622156359,1.1537658602402208,1.0681509542511405,1.0451952463429555
Karvia,2023,4,1.2422859577943508,1.089427870251862,1.1985651534244355,1.0878485373889348,1.0573140500405056
Karvia,2024,4,1.2598231758888765,1.096779095112403,1.2178767162328135,1.0968588408819886,1.0630328382238703
Karvia,2025,4,1.2694818895455864,1.100879874643123,1.227659485133814,1.1015659462123957,1.0660684065394652
Kaskinen,1990,2,1.8065354002462615,1.6715801512844468,1.7191546724827895,1.6219854085761995,1.547258305265412
Kaskinen,1991,2,1.810658966700342,1.6775353706784908,1.720801637512154,1.6254725644649692,1.5517472221647353
Kaskinen,1992,2,1.8149467150473997,1.6837691955530185,1.7225028037708459,1.6290993621736658,1.556439811524224
Kaskinen,1993,2,1.8127369821243282,1.6805512253644626,1.7216275325251287,1.6272301554735726,1.5540182526050184
Kaskinen,1994,2,1.830403591939227,1.706598984771574,1.7285407762237321,1.6421801953125112,1.573570119953463
Kaskinen,1995,2,1.8372651232155401,1.7169165075157022,1.7311746027821489,1.6479902043541947,1.581283585269288
Kaskinen,1996,2,1.8394145529983463,1.720172141018012,1.731993892551818,1.649810636775003,1.583713884795512
Kaskinen,1997,2,1.8472073665034376,1.7320711040088415,1.7349414215024144,1.6564122392898384,1.5925815396531537
Kaskinen,1998,2,1.8540363548573469,1.7426231779910326,1.7374953364583474,1.6621993495934808,1.6004260312315106
Kaskinen,1999,2,1.8599608624155834,1.7518736074539192,1.739689331056916,1.6672214604409283,1.6072879223103018
Kaskinen,2000,2,1.8542582532455647,1.7429680307836994,1.7375778719311026,1.6623874245755095,1.6006820904551864
Kaskinen,2001,3,1.9271466790873628,1.76341892219415,1.7808365416128846,1.6855450115846682,1.6144741039126997
Kaskinen,2002,2,1.8491778865302733,1.7351038733734117,1.7356811257505032,1.6580819327482288,1.5948379876545369
Kaskinen,2003,2,1.8452792433532825,1.7291129878982374,1.734215446403578,1.6547786208553992,1.5903791843738309
Kaskinen,2004,2,1.846090546666306,1.730356554545106,1.7345211816481454,1.6554659861559022,1.5913052103089103
Kaskinen,2005,2,1.8587902521373547,1.7500387047799153,1.7392574064742106,1.6662290443050438,1.6059279150380275
Kaskinen,2006,2,1.8551439305363906,1.7443457117094077,1.737907020305391,1.6631381196043853,1.6017048490331023
Kaskinen,2007,3,1.931172408836951,1.7654420711013603,1.7941467324064844,1.690392924792962,1.6170262942227287
Kaskinen,2008,3,1.9368254592941623,1.7456789498121648,1.8092630351366772,1.6858059373341427,1.6023019898179924
